,plsaContext
586,LeftTroll|Before June 9|positive
587,LeftTroll|Before June 9|neutral
588,LeftTroll|Before June 9|positive
589,LeftTroll|Before June 9|positive
590,LeftTroll|Before June 9|positive
591,LeftTroll|Before June 9|positive
592,LeftTroll|Before June 9|neutral
593,LeftTroll|Before June 9|positive
594,LeftTroll|Before June 9|positive
595,LeftTroll|Before June 9|neutral
596,LeftTroll|Before June 9|neutral
597,LeftTroll|Before June 9|positive
598,LeftTroll|Before June 9|negative
599,LeftTroll|Before June 9|negative
600,LeftTroll|Before June 9|neutral
601,LeftTroll|Before June 9|negative
602,LeftTroll|Before June 9|neutral
603,LeftTroll|Before June 9|positive
604,LeftTroll|Before June 9|neutral
605,LeftTroll|Before June 9|positive
606,LeftTroll|Before June 9|positive
607,LeftTroll|Before June 9|neutral
608,LeftTroll|Before June 9|neutral
609,LeftTroll|Before June 9|positive
610,LeftTroll|Before June 9|positive
611,LeftTroll|Before June 9|negative
612,LeftTroll|Before June 9|negative
613,LeftTroll|Before June 9|neutral
614,LeftTroll|Before June 9|positive
615,LeftTroll|Before June 9|negative
616,LeftTroll|Before June 9|positive
617,LeftTroll|Before June 9|negative
618,LeftTroll|Before June 9|neutral
619,LeftTroll|Before June 9|positive
620,LeftTroll|Before June 9|positive
621,LeftTroll|Before June 9|negative
622,LeftTroll|Before June 9|positive
623,LeftTroll|Before June 9|positive
624,LeftTroll|Before June 9|negative
625,LeftTroll|Before June 9|neutral
626,LeftTroll|Before June 9|neutral
627,LeftTroll|Before June 9|neutral
628,LeftTroll|Before June 9|positive
629,LeftTroll|Before June 9|negative
630,LeftTroll|Before June 9|positive
631,LeftTroll|Before June 9|positive
632,LeftTroll|Before June 9|positive
633,LeftTroll|Before June 9|neutral
634,LeftTroll|Before June 9|neutral
635,LeftTroll|Before June 9|neutral
636,LeftTroll|Before June 9|positive
637,LeftTroll|Before June 9|positive
638,LeftTroll|Before June 9|positive
639,LeftTroll|Before June 9|negative
640,LeftTroll|Before June 9|neutral
641,LeftTroll|Before June 9|neutral
642,LeftTroll|Before June 9|neutral
